iter	RMSE
0	0.4999813289
1	0.4999544667
2	0.4999253539
3	0.4999035956
4	0.4998847825
5	0.4998839394
6	0.4998558673
7	0.499829314
8	0.4998068792
9	0.4997807798
10	0.4997559895
11	0.4997273247
12	0.4997036255
13	0.4996818168
14	0.4996474652
15	0.4996030061
16	0.4995831659
17	0.4995543738
18	0.4995328009
19	0.4994988887
20	0.4994697437
21	0.4994510774
22	0.4994218089
23	0.4993996861
24	0.4993984321
25	0.4993829958
26	0.4993755499
27	0.4993501643
28	0.4993254126
29	0.4993109329
30	0.4992866249
31	0.4992594713
32	0.4992436819
33	0.4992253385
34	0.4992012067
35	0.4991830712
36	0.4991657167
37	0.4991389017
38	0.4991153514
39	0.4990999243
40	0.4990875515
41	0.4990721243
42	0.4990597011
43	0.4990368617
44	0.4990166042
45	0.4990035916
46	0.4989842867
47	0.4989681267
48	0.4989476125
49	0.4989263324
50	0.4989100886
51	0.4988832866
52	0.4988573418
53	0.498848199
54	0.4988292057
55	0.4988061034
56	0.4987906106
57	0.4987720902
58	0.4987538343
59	0.4987346347
60	0.4987145355
61	0.4986990977
62	0.4986730256
63	0.4986565434
64	0.4986326593
65	0.4986079883
66	0.4986055929
67	0.4985856594
68	0.498569723
69	0.4985456409
70	0.4985341089
71	0.4985181704
72	0.4984960962
73	0.498478919
74	0.4984616772
75	0.4984458434
76	0.4984319471
77	0.4984070274
78	0.4984069515
79	0.4983721491
80	0.4983721487
81	0.4983507223
82	0.4983378547
83	0.4983229887
84	0.4983059766
85	0.4982840183
86	0.4982582004
87	0.498237271
88	0.4982233169
89	0.4981951016
90	0.4981691311
91	0.4981574663
92	0.4981373168
93	0.4981141208
94	0.4981027835
95	0.4980841638
96	0.4980670558
97	0.4980484228
98	0.4980341212
99	0.4980155624
100	0.4979886921
101	0.4979720724
102	0.497961134
103	0.4979456264
104	0.4979307022
105	0.4979210693
106	0.4979086266
107	0.4978885964
108	0.4978752283
109	0.4978531384
110	0.4978315979
111	0.4978144102
112	0.4978018537
113	0.4977817295
114	0.497768397
115	0.497751716
116	0.4977394195
117	0.4977193626
118	0.4976911737
119	0.4976707404
120	0.4976563139
121	0.4976445573
122	0.4976299754
123	0.4976101635
124	0.4975867907
125	0.4975718487
126	0.4975503915
127	0.4975273629
128	0.4975027831
129	0.4974909477
130	0.497476077
131	0.4974544651
132	0.4974366437
133	0.4974197408
134	0.4974011099
135	0.4973867192
136	0.4973746433
137	0.497356866
138	0.4973406138
139	0.4973155111
140	0.4972903212
141	0.4972639016
142	0.4972493968
143	0.4972280418
144	0.4972115924
145	0.4971880786
146	0.4971685053
147	0.4971464336
148	0.4971252454
149	0.4971008564
150	0.497089062
151	0.4970684272
152	0.4970547033
153	0.4970353031
154	0.4970153472
155	0.4969897134
156	0.4969681438
157	0.496950378
158	0.4969280332
159	0.4969108364
160	0.4968951075
161	0.4968738287
162	0.496856343
163	0.4968352849
164	0.4968150653
165	0.496790996
166	0.4967683926
167	0.496746652
168	0.4967328705
169	0.4967064182
170	0.4966878059
171	0.4966613864
172	0.4966392129
173	0.4966136436
174	0.4965936195
175	0.4965640434
176	0.4965358043
177	0.4965138563
178	0.4964926867
179	0.4964721651
180	0.4964473927
181	0.4964200308
182	0.496398896
183	0.496378921
184	0.4963606052
185	0.49633468
186	0.4963130399
187	0.4962986408
188	0.4962764038
189	0.4962548892
190	0.4962381268
191	0.496216754
192	0.4962016714
193	0.4961807383
194	0.496155749
195	0.4961374106
196	0.4961198518
197	0.4960967958
198	0.4960755629
199	0.4960562067
200	0.4960314058
201	0.4960090164
202	0.4959882615
203	0.4959664587
204	0.4959466468
205	0.4959231502
206	0.4959028171
207	0.4958811415
