iter	Passed	Remaining
0	182	182115
1	190	95257
2	201	66811
3	210	52318
4	219	43636
5	223	37106
6	232	33013
7	239	29743
8	248	27391
9	255	25246
10	263	23660
11	269	22155
12	275	20945
13	282	19923
14	289	18982
15	295	18180
16	300	17399
17	306	16731
18	312	16139
19	317	15556
20	323	15061
21	329	14632
22	334	14209
23	339	13826
24	344	13433
25	350	13124
26	356	12853
27	362	12588
28	367	12317
29	373	12073
30	379	11851
31	383	11610
32	388	11394
33	394	11203
34	398	10990
35	403	10811
36	408	10630
37	413	10473
38	418	10314
39	423	10160
40	428	10023
41	433	9877
42	437	9741
43	443	9628
44	447	9504
45	452	9378
46	457	9279
47	462	9174
48	467	9068
49	472	8970
50	476	8873
51	481	8774
52	485	8682
53	492	8628
54	497	8550
55	503	8483
56	509	8430
57	515	8371
58	520	8296
59	526	8245
60	531	8175
61	536	8115
62	542	8061
63	546	7999
64	551	7939
65	557	7885
66	561	7814
67	566	7764
68	572	7718
69	576	7664
70	581	7611
71	587	7571
72	592	7522
73	597	7471
74	602	7434
75	607	7389
76	612	7341
77	617	7294
78	621	7240
79	625	7197
80	628	7130
81	633	7093
82	639	7063
83	644	7025
84	649	6987
85	655	6962
86	659	6924
87	664	6888
88	669	6856
89	674	6820
90	679	6788
91	684	6753
92	689	6721
93	693	6687
94	698	6651
95	703	6621
96	707	6588
97	712	6559
98	719	6550
99	728	6555
100	734	6539
101	739	6513
102	744	6486
103	750	6462
104	756	6444
105	760	6414
106	765	6387
107	770	6365
108	776	6344
109	780	6318
110	787	6303
111	792	6280
112	796	6255
113	802	6237
114	807	6212
115	812	6190
116	817	6172
117	823	6156
118	828	6136
119	834	6123
120	840	6104
121	845	6088
122	852	6077
123	857	6061
124	863	6043
125	870	6036
126	875	6020
127	881	6006
128	887	5992
129	892	5973
130	898	5959
131	904	5948
132	910	5936
133	917	5931
134	923	5917
135	929	5905
136	940	5923
137	971	6066
138	989	6129
139	998	6131
140	1003	6115
141	1011	6109
142	1022	6130
143	1029	6122
144	1036	6111
145	1043	6103
146	1049	6090
147	1054	6071
148	1059	6051
149	1065	6035
150	1070	6019
151	1075	5999
152	1080	5984
153	1086	5968
154	1091	5949
155	1096	5933
156	1101	5916
157	1106	5897
158	1111	5878
159	1117	5866
160	1122	5847
161	1126	5828
162	1132	5816
163	1137	5798
164	1142	5780
165	1148	5767
166	1153	5751
167	1158	5735
168	1163	5719
169	1168	5706
170	1173	5688
171	1178	5675
172	1183	5657
173	1188	5640
174	1192	5623
175	1198	5610
176	1202	5593
177	1207	5576
178	1213	5563
179	1217	5547
180	1222	5531
181	1227	5517
182	1232	5502
183	1237	5487
184	1241	5470
185	1247	5461
186	1252	5446
187	1257	5431
188	1263	5421
189	1268	5409
190	1273	5393
191	1279	5382
192	1284	5370
193	1289	5356
194	1295	5346
195	1301	5337
196	1305	5323
197	1312	5315
198	1317	5302
199	1322	5289
200	1327	5278
201	1332	5265
202	1338	5253
203	1344	5244
204	1349	5233
205	1354	5218
206	1359	5210
207	1367	5205
208	1372	5195
209	1381	5195
210	1387	5186
211	1394	5182
212	1400	5174
213	1406	5164
214	1413	5161
215	1419	5150
216	1425	5144
217	1432	5138
218	1438	5129
219	1445	5126
220	1451	5116
221	1458	5110
222	1464	5103
223	1470	5093
224	1477	5088
225	1482	5078
226	1489	5071
227	1496	5066
228	1502	5057
229	1508	5050
230	1514	5040
231	1519	5028
232	1524	5020
233	1530	5009
234	1534	4996
235	1540	4987
236	1545	4976
237	1551	4965
238	1556	4957
239	1561	4946
240	1566	4933
241	1571	4922
242	1577	4914
243	1582	4903
244	1587	4891
245	1593	4884
246	1598	4871
247	1602	4860
248	1608	4851
249	1613	4839
250	1618	4828
251	1623	4820
252	1629	4811
253	1634	4799
254	1640	4791
255	1644	4780
256	1649	4769
257	1655	4761
258	1660	4751
259	1665	4740
260	1670	4730
261	1676	4721
262	1681	4711
263	1686	4701
264	1691	4691
265	1696	4680
266	1701	4670
267	1706	4661
268	1711	4652
269	1717	4643
270	1723	4635
271	1728	4625
272	1732	4614
273	1738	4606
274	1743	4597
275	1748	4587
276	1754	4578
277	1759	4568
278	1764	4559
279	1769	4549
280	1774	4540
281	1780	4533
282	1786	4526
283	1792	4518
284	1798	4511
285	1804	4504
286	1810	4496
287	1815	4488
288	1822	4484
289	1828	4476
290	1835	4472
291	1842	4466
292	1848	4459
293	1854	4454
294	1861	4449
295	1867	4441
296	1874	4437
297	1880	4429
298	1887	4425
299	1893	4418
300	1898	4409
301	1906	4405
302	1911	4396
303	1916	4388
304	1923	4383
305	1929	4375
306	1936	4371
307	1942	4364
308	1947	4355
309	1955	4351
310	1960	4343
311	1965	4334
312	1971	4328
313	1976	4318
314	1981	4309
315	1988	4304
316	1993	4295
317	1999	4288
318	2005	4280
319	2010	4271
320	2015	4264
321	2021	4256
322	2026	4247
323	2031	4238
324	2037	4231
325	2041	4221
326	2046	4211
327	2052	4205
328	2057	4196
329	2062	4187
330	2068	4181
331	2074	4173
332	2078	4163
333	2085	4157
334	2090	4149
335	2094	4139
336	2101	4133
337	2106	4125
338	2111	4116
339	2117	4111
340	2123	4102
341	2127	4093
342	2134	4087
343	2139	4079
344	2143	4070
345	2150	4064
346	2155	4056
347	2160	4047
348	2166	4041
349	2171	4033
350	2176	4024
351	2182	4018
352	2187	4009
353	2192	4001
354	2198	3994
355	2203	3986
356	2208	3977
357	2214	3971
358	2219	3963
359	2224	3954
360	2230	3947
361	2235	3939
362	2240	3930
363	2245	3923
364	2251	3916
365	2256	3908
366	2262	3901
367	2267	3893
368	2272	3885
369	2277	3877
370	2282	3869
371	2287	3861
372	2292	3853
373	2298	3847
374	2303	3838
375	2307	3829
376	2312	3822
377	2317	3813
378	2322	3805
379	2328	3798
380	2333	3791
381	2338	3783
382	2344	3776
383	2349	3768
384	2354	3760
385	2358	3752
386	2364	3746
387	2369	3737
388	2374	3729
389	2380	3722
390	2385	3714
391	2389	3706
392	2394	3698
393	2399	3690
394	2404	3682
395	2409	3675
396	2415	3668
397	2420	3661
398	2426	3655
399	2432	3648
400	2437	3641
401	2442	3633
402	2447	3626
403	2452	3618
404	2457	3609
405	2462	3602
406	2467	3594
407	2471	3586
408	2477	3580
409	2482	3572
410	2487	3565
411	2493	3558
412	2498	3551
413	2504	3544
414	2511	3540
415	2517	3534
416	2524	3528
417	2529	3522
418	2535	3516
419	2541	3510
420	2546	3502
421	2552	3496
422	2558	3490
423	2564	3483
424	2570	3477
425	2575	3470
426	2581	3464
427	2588	3459
428	2595	3454
429	2600	3447
430	2607	3442
431	2612	3435
432	2618	3428
433	2624	3423
434	2630	3416
435	2635	3409
436	2640	3401
437	2645	3394
438	2650	3387
439	2656	3380
440	2661	3373
441	2667	3368
442	2673	3361
443	2678	3354
444	2683	3346
445	2688	3339
446	2693	3332
447	2698	3324
448	2703	3317
449	2709	3311
450	2714	3303
451	2718	3296
452	2724	3290
453	2729	3283
454	2734	3275
455	2740	3269
456	2746	3262
457	2750	3255
458	2756	3249
459	2761	3242
460	2766	3235
461	2772	3229
462	2777	3221
463	2782	3214
464	2788	3208
465	2793	3201
466	2798	3193
467	2804	3187
468	2810	3181
469	2814	3174
470	2820	3167
471	2825	3161
472	2830	3153
473	2835	3146
474	2842	3141
475	2847	3134
476	2852	3127
477	2858	3121
478	2863	3114
479	2869	3108
480	2875	3103
481	2880	3096
482	2887	3090
483	2893	3084
484	2899	3078
485	2905	3073
486	2912	3067
487	2917	3060
488	2923	3055
489	2929	3048
490	2935	3043
491	2941	3036
492	2946	3030
493	2952	3023
494	2957	3017
495	2963	3010
496	2968	3004
497	2974	2997
498	2978	2990
499	2984	2984
500	2988	2977
501	2993	2969
502	2998	2962
503	3003	2956
504	3008	2949
505	3013	2941
506	3019	2935
507	3024	2929
508	3029	2922
509	3035	2916
510	3040	2909
511	3044	2902
512	3050	2895
513	3055	2888
514	3059	2881
515	3064	2874
516	3069	2867
517	3074	2860
518	3079	2853
519	3084	2846
520	3089	2840
521	3093	2832
522	3098	2826
523	3103	2819
524	3108	2812
525	3113	2805
526	3118	2799
527	3123	2792
528	3128	2785
529	3133	2778
530	3138	2771
531	3143	2764
532	3148	2758
533	3152	2751
534	3157	2744
535	3162	2737
536	3167	2730
537	3172	2724
538	3176	2716
539	3181	2710
540	3186	2703
541	3191	2696
542	3195	2689
543	3200	2682
544	3206	2676
545	3211	2670
546	3217	2664
547	3222	2657
548	3227	2651
549	3232	2645
550	3238	2638
551	3242	2631
552	3248	2625
553	3252	2618
554	3257	2612
555	3262	2605
556	3267	2598
557	3272	2592
558	3277	2585
559	3282	2579
560	3287	2572
561	3292	2565
562	3297	2559
563	3302	2552
564	3306	2546
565	3313	2540
566	3317	2533
567	3322	2526
568	3327	2520
569	3332	2513
570	3337	2507
571	3342	2500
572	3347	2494
573	3352	2487
574	3357	2481
575	3362	2474
576	3366	2467
577	3371	2461
578	3375	2454
579	3380	2448
580	3385	2441
581	3390	2435
582	3395	2428
583	3400	2422
584	3405	2415
585	3409	2409
586	3415	2402
587	3419	2396
588	3424	2389
589	3431	2384
590	3436	2377
591	3440	2371
592	3447	2365
593	3452	2360
594	3457	2353
595	3464	2348
596	3469	2342
597	3474	2335
598	3480	2330
599	3486	2324
600	3490	2317
601	3497	2312
602	3502	2305
603	3507	2299
604	3513	2293
605	3519	2288
606	3524	2281
607	3530	2276
608	3536	2270
609	3541	2264
610	3547	2258
